sample,rep_1,rep_2,Pass_coverage,hhsubid
106902005,8452.62599070327,3780.96234491523,Pass,106902
106902006,4177.61271444337,6312.36531451694,Pass,106902
106902007,7873.50824332007,14874.8981038692,Pass,106902
106902008,7994.78998762666,14842.0046149216,Pass,106902
106902009,3415.637293917,17741.8758652978,Pass,106902
106902010,5295.64060462161,6334.98321238672,Pass,106902
106903001,7879.77801558372,5592.35374377153,Pass,106903
106903004,6095.33123766846,11379.0850416346,Pass,106903
106903005,5414.28441962345,1273.29933451493,Pass,106903
106903006,8939.01203892586,10120.1497174197,Pass,106903
106903008,5170.72892351938,8019.60696251212,Pass,106903
106903009,5239.44727953717,8713.10042470655,Pass,106903
106903010,5441.1367421329,12527.4297227703,Pass,106903
107001002,5040.91663043842,9688.5976992275,Pass,107001
